Icon	Deal	Business	Location	Details	Category	Expires	Show On	Event Date	Featured	ID	Source	Contact	Notes
🎉	Bold Bloom: The Power of the Flower	K-State Student Union	918 North Martin Luther King Jr. Drive Manhattan	Aug 21 - Oct 3	event	2026-10-03		2026-08-21		k-state-student-bold-bloom-the-power	scraped		https://www.kstateupc.com/our-events/2026/8/21/bold-bloom-the-power-of-the-flower-exhibit
🎉	Late Night at the Union	K-State Student Union	918 North Martin Luther King Jr. Drive Manhattan	7pm-10pm	event	2026-08-21		2026-08-21		k-state-student-late-night-at-the	scraped		https://www.kstateupc.com/our-events/2026/8/21/late-night-at-the-union
🎉	Dino Day	Flint Hills Discovery Center	315 S 3rd Manhattan KS		event	2026-08-22		2026-08-22		flint-hills-discovery-dino-day	scraped		https://www.visitmanhattanks.org/event/dino-day/5457/
🏟️	K-State Soccer vs South Dakota State	Buser Family Park	1628 College Ave Manhattan KS		event	2026-08-23		2026-08-23		buser-family-park-k-state-soccer-vs-2	scraped		https://www.visitmanhattanks.org/event/k-state-soccer-vs-south-dakota-state/5441/
🍽️	Lunch on the Plaza	K-State Student Union	918 North Martin Luther King Jr. Drive Manhattan	11:30am-1:30pm	event	2026-08-26		2026-08-26		k-state-student-lunch-on-the-plaza	scraped		https://www.kstateupc.com/our-events/2026/8/26/lunch-on-the-plaza
🎪	Activities Carnival	K-State Student Union	918 North Martin Luther King Jr. Drive Manhattan	6pm-8pm	event	2026-08-27		2026-08-27		k-state-student-activities-carnival	scraped		https://www.kstateupc.com/our-events/2026/8/27/activities-carnival
🎨	International Block Party	K-State Student Union	918 North Martin Luther King Jr. Drive Manhattan	7pm-10pm	event	2026-08-28		2026-08-28		k-state-student-international-block-party	scraped		https://www.kstateupc.com/our-events/2026/8/28/international-block-party
🍺	Flint Hills Festival of Wines	K-State Alumni Center	100 Alumni Center Manhattan KS	$150	event	2026-08-29		2026-08-29		k-state-alumni-flint-hills-festival-of	scraped		https://www.visitmanhattanks.org/event/flint-hills-festival-of-wines/5255/
🎵	Vinyl Revival: Concert in the Amphitheater	Liquid Art Winery and Estate	1745 Wildcat Creek Rd Manhattan KS	Ticket information on website	event	2026-08-29		2026-08-29		liquid-art-winery-vinyl-revival-concert-in	scraped		https://www.visitmanhattanks.org/event/vinyl-revival%3a-concert-in-the-amphitheater/5302/
🎉	Wildly Connected	Prairiewood	1484 Wildcat Creek Road Manhattan KS		event	2026-08-30		2026-08-30		prairiewood-wildly-connected	scraped		https://www.visitmanhattanks.org/event/wildly-connected/5477/
🏟️	K-State Soccer vs Nebraska	Buser Family Park	1628 College Ave Manhattan KS		event	2026-08-30		2026-08-30		buser-family-park-k-state-soccer-vs-3	scraped		https://www.visitmanhattanks.org/event/k-state-soccer-vs-nebraska/5442/
🎵	Generation to Generation: Conversing with Kindred Technologies	The Museum of Art + Light	316 Pierre St Manhattan KS	Sep 2 - Feb 14 · Recurring daily	event	2027-02-14		2026-09-02		the-museum-of-generation-to-generation-conversing	scraped		https://www.visitmanhattanks.org/event/generation-to-generation%3a-conversing-with-kindred-technologies/5079/
🏛️	Polychrome Ritual: Barry Anderson Solo Exhibition	The Museum of Art + Light	316 Pierre St Manhattan KS	Sep 2 - Feb 16 · Recurring daily	event	2027-02-16		2026-09-02		the-museum-of-polychrome-ritual-barry-anderson	scraped		https://www.visitmanhattanks.org/event/polychrome-ritual%3a-barry-anderson-solo-exhibition/5080/
🎉	Purple Power Play	Blue Earth Plaza	315 S 3rd Manhattan KS	Free	event	2026-09-04		2026-09-04		blue-earth-plaza-purple-power-play	scraped		https://www.visitmanhattanks.org/event/purple-power-play/5272/
🏟️	K-State Football Home Game	Bill Snyder Family Stadium	2201 Kimball Ave Manhattan KS	Sep 5 - Nov 21	event	2026-11-21		2026-09-05		bill-snyder-family-k-state-football-home	scraped		https://www.visitmanhattanks.org/event/k-state-football-home-game/5104/
🏟️	K-State Football vs Nicholls	Bill Snyder Family Stadium	2201 Kimball Ave Manhattan KS	Purchase tickets at kstatesports.com	event	2026-09-05		2026-09-05		bill-snyder-family-k-state-football-vs	scraped		https://www.visitmanhattanks.org/event/k-state-football-vs-nicholls/5323/
🎪	Yuma Street Cultural Festival	Douglass Complex	930 Yuma Street Manhattan KS	Free	event	2026-09-06		2026-09-06		douglass-complex-yuma-street-cultural-festival	scraped		https://www.visitmanhattanks.org/event/yuma-street-cultural-festival/5393/
🎉	Waylon Wyatt - Manhattan	The Hat	The Hat Manhattan Kansas Manhattan KS		event	2026-09-08		2026-09-08		the-hat-waylon-wyatt-manhattan	scraped		https://www.visitmanhattanks.org/event/waylon-wyatt-manhattan/5411/
🎉	Waylon Wyatt	The Hat	1315 Laramie St. Manhattan KS		event	2026-09-08		2026-09-08		the-hat-waylon-wyatt	scraped		https://www.visitmanhattanks.org/event/waylon-wyatt/5387/
🎨	Paint n Sip	K-State Student Union	918 North Martin Luther King Jr. Drive Manhattan	6pm-8pm	event	2026-09-11		2026-09-11		k-state-student-paint-n-sip	scraped		https://www.kstateupc.com/our-events/2026/9/11/paint-n-sip
